order_id,order_date,region,category,units,unit_price,discount,revenue,cost,profit
O00105,2025-03-05,South,Home,4,115.19,0.077,425.28,260.79,164.49
O00106,2025-03-05,North,Accessories,5,169.26,0.233,649.11,516.57,132.54
O00107,2025-03-06,South,Home,2,34.28,0.177,56.42,40.1,16.32
O00108,2025-03-07,South,Home,1,43.58,0.151,37.0,24.51,12.49
O00109,2025-03-07,East,Home,4,81.81,0.086,299.1,239.78,59.32
O00110,2025-03-08,East,Electronics,1,226.1,0.097,204.17,116.11,88.06
O00111,2025-03-08,South,Home,7,106.27,0.204,592.14,401.25,190.89
O00112,2025-03-09,South,Accessories,4,333.19,0.137,1150.17,699.26,450.91
O00113,2025-03-10,East,Office,8,154.43,0.17,1025.42,569.85,455.57
O00114,2025-03-10,West,Home,1,224.11,0.132,194.53,109.21,85.32
O00115,2025-03-11,North,Home,1,204.44,0.231,157.21,113.22,43.99
O00116,2025-03-11,East,Electronics,2,181.5,0.116,320.89,225.57,95.32
O00117,2025-03-12,North,Electronics,3,148.89,0.194,360.02,283.94,76.08
O00118,2025-03-13,South,Accessories,6,164.46,0.166,822.96,555.45,267.51
O00119,2025-03-13,South,Accessories,3,348.67,0.189,848.31,661.08,187.23
O00120,2025-03-14,West,Office,8,45.85,0.097,331.22,253.43,77.79
O00121,2025-03-14,South,Electronics,8,338.66,0.085,2478.99,1673.61,805.38
O00122,2025-03-15,South,Home,1,99.9,0.102,89.71,62.69,27.02
O00123,2025-03-16,East,Electronics,6,282.35,0.012,1673.77,1075.79,597.98
O00124,2025-03-16,West,Home,5,92.36,0.017,453.95,344.11,109.84
O00125,2025-03-17,South,Electronics,7,146.13,0.218,799.92,567.63,232.29
O00126,2025-03-17,East,Electronics,4,253.7,0.179,833.15,608.5,224.65
O00127,2025-03-18,West,Home,1,324.71,0.218,253.92,184.42,69.5
O00128,2025-03-19,South,Home,1,161.16,0.118,142.14,90.16,51.98
O00129,2025-03-19,West,Accessories,2,219.23,0.085,401.19,310.81,90.38
O00130,2025-03-20,South,Office,7,131.4,0.048,875.65,651.33,224.32
O00131,2025-03-20,South,Home,1,85.17,0.002,85.0,50.87,34.13
O00132,2025-03-21,North,Electronics,6,330.02,0.003,1974.18,1421.47,552.71
O00133,2025-03-22,East,Office,1,329.58,0.206,261.69,194.82,66.87
O00134,2025-03-22,South,Home,8,341.97,0.009,2711.14,1687.83,1023.31
O00135,2025-03-23,South,Home,1,342.7,0.031,332.08,190.14,141.94
O00136,2025-03-24,East,Office,6,317.48,0.242,1443.9,795.77,648.13
O00137,2025-03-24,East,Home,1,202.84,0.024,197.97,148.33,49.64
O00138,2025-03-25,West,Office,6,118.58,0.028,691.56,532.97,158.59
O00139,2025-03-25,South,Accessories,1,146.18,0.217,114.46,85.34,29.12
O00140,2025-03-26,South,Office,3,113.03,0.214,266.52,154.73,111.79
O00141,2025-03-27,West,Accessories,7,121.41,0.159,714.74,516.41,198.33
O00142,2025-03-27,South,Home,5,271.73,0.13,1182.03,821.86,360.17
O00143,2025-03-28,South,Home,3,329.83,0.006,983.55,763.55,220.0
O00144,2025-03-28,East,Home,5,205.94,0.011,1018.37,653.5,364.87
O00145,2025-03-29,East,Electronics,5,253.94,0.029,1232.88,680.44,552.44
O00146,2025-03-30,South,Electronics,1,106.82,0.21,84.39,52.77,31.62
O00147,2025-03-30,East,Electronics,4,314.83,0.139,1084.27,849.05,235.22
O00148,2025-03-31,East,Office,2,192.75,0.189,312.64,235.11,77.53
O00149,2025-03-31,West,Office,4,236.85,0.156,799.61,550.63,248.98
O00150,2025-04-01,North,Home,2,304.45,0.057,574.19,449.77,124.42
O00151,2025-04-02,West,Office,3,120.94,0.151,308.03,185.7,122.33
O00152,2025-04-02,South,Home,5,78.02,0.02,382.3,260.13,122.17
O00153,2025-04-03,South,Electronics,4,201.64,0.069,750.91,420.9,330.01
O00154,2025-04-03,East,Accessories,5,288.88,0.184,1178.63,819.75,358.88
O00155,2025-04-04,North,Home,1,302.53,0.079,278.63,221.66,56.97
O00156,2025-04-05,East,Electronics,3,31.8,0.097,86.15,52.42,33.73
O00157,2025-04-05,North,Electronics,3,280.52,0.079,775.08,520.51,254.57
O00158,2025-04-06,South,Accessories,7,107.21,0.176,618.39,395.39,223.0
O00159,2025-04-07,North,Office,3,50.55,0.249,113.89,88.41,25.48
O00160,2025-04-07,South,Office,6,114.44,0.203,547.25,403.87,143.38
O00161,2025-04-08,South,Home,7,55.78,0.008,387.34,263.47,123.87
O00162,2025-04-08,North,Office,2,140.09,0.086,256.08,150.46,105.62
O00163,2025-04-09,West,Home,1,177.43,0.171,147.09,102.65,44.44
O00164,2025-04-10,West,Home,7,324.16,0.119,1999.09,1298.58,700.51
O00165,2025-04-10,West,Electronics,3,308.09,0.027,899.31,573.08,326.23
O00166,2025-04-11,North,Office,3,267.0,0.232,615.17,380.37,234.8
O00167,2025-04-11,North,Office,8,47.8,0.029,371.31,227.26,144.05
O00168,2025-04-12,South,Accessories,4,165.84,0.153,561.87,403.11,158.76
O00169,2025-04-13,West,Office,5,125.79,0.236,480.52,331.46,149.06
O00170,2025-04-13,South,Electronics,2,342.6,0.054,648.2,408.93,239.27
O00171,2025-04-14,South,Home,3,321.45,0.035,930.6,732.08,198.52
O00172,2025-04-14,West,Electronics,4,321.15,0.058,1210.09,738.33,471.76
O00173,2025-04-15,North,Home,1,295.86,0.198,237.28,163.64,73.64
O00174,2025-04-16,West,Home,2,266.01,0.196,427.74,332.57,95.17
O00175,2025-04-16,North,Accessories,8,253.1,0.241,1536.82,1084.81,452.01
O00176,2025-04-17,South,Electronics,6,191.52,0.245,867.59,706.41,161.18
O00177,2025-04-17,South,Office,5,210.06,0.064,983.08,803.61,179.47
O00178,2025-04-18,West,Accessories,5,175.89,0.063,824.04,469.66,354.38
O00179,2025-04-19,West,Home,3,184.49,0.215,434.47,265.36,169.11
O00180,2025-04-19,South,Accessories,8,68.95,0.062,517.4,331.17,186.23
O00181,2025-04-20,South,Home,4,96.48,0.206,306.42,199.99,106.43
O00182,2025-04-20,West,Electronics,2,93.45,0.143,160.17,131.28,28.89
O00183,2025-04-21,South,Office,1,129.21,0.13,112.41,69.87,42.54
O00184,2025-04-22,West,Home,5,171.34,0.214,673.37,416.6,256.77
O00185,2025-04-22,West,Electronics,1,163.51,0.142,140.29,108.31,31.98
O00186,2025-04-23,East,Home,4,322.02,0.193,1039.48,769.96,269.52
O00187,2025-04-24,East,Home,7,69.96,0.211,386.39,265.07,121.32
O00188,2025-04-24,North,Accessories,4,159.98,0.063,599.61,477.76,121.85
O00189,2025-04-25,East,Accessories,5,98.88,0.232,379.7,215.38,164.32
O00190,2025-04-25,North,Home,7,339.73,0.101,2137.92,1609.44,528.48
O00191,2025-04-26,North,Office,4,184.47,0.101,663.35,456.92,206.43
O00192,2025-04-27,South,Home,4,215.19,0.224,667.95,379.51,288.44
O00193,2025-04-27,South,Accessories,1,336.94,0.101,302.91,231.83,71.08
O00194,2025-04-28,North,Office,6,245.55,0.062,1381.96,1101.29,280.67
O00195,2025-04-28,East,Electronics,1,186.57,0.166,155.6,88.28,67.32
O00196,2025-04-29,West,Accessories,3,137.27,0.199,329.86,240.87,88.99
O00197,2025-04-30,North,Office,3,274.44,0.03,798.62,463.7,334.92
O00198,2025-04-30,North,Accessories,2,152.01,0.006,302.2,176.58,125.62
O00199,2025-05-01,West,Office,7,268.58,0.086,1718.37,1193.11,525.26
O00200,2025-05-01,North,Office,7,82.18,0.154,486.67,269.64,217.03
O00201,2025-05-02,East,Home,2,22.94,0.062,43.04,24.67,18.37
O00202,2025-05-03,East,Home,5,120.48,0.029,584.93,432.3,152.63
O00203,2025-05-03,South,Home,2,255.79,0.015,503.91,327.5,176.41
O00204,2025-05-04,South,Electronics,2,347.79,0.234,532.81,429.32,103.49
O00205,2025-05-04,North,Office,2,83.52,0.045,159.52,116.62,42.9
O00206,2025-05-05,West,Home,4,287.49,0.039,1105.11,774.96,330.15
O00207,2025-05-06,North,Accessories,8,216.8,0.082,1592.18,967.84,624.34
O00208,2025-05-06,North,Office,6,173.26,0.156,877.39,514.16,363.23
O00209,2025-05-07,West,Home,1,321.7,0.24,244.49,175.93,68.56
O00210,2025-05-08,South,Accessories,2,199.07,0.245,300.6,207.19,93.41
O00211,2025-05-08,South,Home,3,200.46,0.185,490.12,391.53,98.59
O00212,2025-05-09,East,Accessories,2,27.71,0.16,46.55,29.25,17.3
O00213,2025-05-09,East,Accessories,2,223.89,0.105,400.76,288.15,112.61
O00214,2025-05-10,West,Accessories,8,275.06,0.16,1848.4,1255.03,593.37
O00215,2025-05-11,West,Accessories,6,210.45,0.039,1213.45,725.11,488.34
O00216,2025-05-11,South,Accessories,2,285.17,0.035,550.38,449.48,100.9
O00217,2025-05-12,West,Accessories,5,212.21,0.11,944.33,613.74,330.59
O00218,2025-05-12,East,Accessories,3,249.91,0.052,710.74,437.51,273.23
O00219,2025-05-13,North,Electronics,3,109.42,0.035,316.77,197.68,119.09
O00220,2025-05-14,North,Office,4,65.93,0.155,222.84,159.85,62.99
O00221,2025-05-14,West,Office,8,204.33,0.073,1515.31,1015.54,499.77
O00222,2025-05-15,East,Accessories,7,260.49,0.119,1606.44,1231.63,374.81
O00223,2025-05-15,South,Accessories,5,198.63,0.124,870.0,546.11,323.89
O00224,2025-05-16,South,Office,3,74.5,0.045,213.44,144.25,69.19
O00225,2025-05-17,East,Office,8,285.28,0.0,2282.24,1705.96,576.28
O00226,2025-05-17,North,Electronics,2,73.97,0.055,139.8,79.63,60.17
O00227,2025-05-18,South,Home,1,154.05,0.116,136.18,98.23,37.95
O00228,2025-05-18,North,Office,2,303.46,0.097,548.05,326.81,221.24
O00229,2025-05-19,East,Home,5,83.26,0.165,347.61,270.31,77.3
O00230,2025-05-20,South,Accessories,7,116.63,0.178,671.09,433.91,237.18
O00231,2025-05-20,East,Office,2,335.35,0.228,517.78,363.23,154.55
O00232,2025-05-21,South,Electronics,5,181.47,0.065,848.37,563.07,285.3
O00233,2025-05-21,East,Electronics,3,103.15,0.212,243.85,198.19,45.66
O00234,2025-05-22,East,Office,1,16.84,0.11,14.99,10.42,4.57
O00235,2025-05-23,South,Accessories,6,184.91,0.045,1059.53,598.89,460.64
O00236,2025-05-23,East,Home,4,305.72,0.141,1050.45,744.58,305.87
O00237,2025-05-24,North,Home,3,100.65,0.15,256.66,178.88,77.78
O00238,2025-05-25,East,Home,8,218.0,0.027,1696.91,1190.76,506.15
O00239,2025-05-25,East,Electronics,8,30.93,0.084,226.66,153.41,73.25
O00240,2025-05-26,South,Accessories,8,16.05,0.103,115.17,87.24,27.93
O00241,2025-05-26,South,Office,2,200.87,0.075,371.61,213.22,158.39
O00242,2025-05-27,West,Home,5,52.05,0.174,214.97,146.59,68.38
O00243,2025-05-28,North,Accessories,4,342.4,0.034,1323.03,968.83,354.2
O00244,2025-05-28,East,Office,2,230.98,0.117,407.91,302.87,105.04
O00245,2025-05-29,East,Electronics,5,179.93,0.002,897.85,530.53,367.32
O00246,2025-05-29,East,Home,5,161.87,0.073,750.27,543.26,207.01
O00247,2025-05-30,South,Office,7,48.37,0.243,256.31,163.6,92.71
O00248,2025-05-31,East,Accessories,5,256.39,0.023,1252.47,958.85,293.62
O00249,2025-05-31,North,Office,5,338.78,0.192,1368.67,824.67,544.0
O00250,2025-06-01,North,Home,8,201.67,0.118,1422.98,1161.2,261.78
O00251,2025-06-01,East,Home,2,204.86,0.06,385.14,289.2,95.94
O00252,2025-06-02,North,Electronics,1,82.02,0.16,68.9,42.63,26.27
O00253,2025-06-03,North,Electronics,2,82.54,0.193,133.22,96.27,36.95
O00254,2025-06-03,South,Home,3,21.62,0.035,62.59,37.74,24.85
O00255,2025-06-04,East,Accessories,3,252.44,0.213,596.01,402.05,193.96
O00256,2025-06-04,East,Home,4,277.41,0.062,1040.84,669.02,371.82
O00257,2025-06-05,West,Electronics,6,217.8,0.194,1053.28,760.42,292.86
O00258,2025-06-06,South,Accessories,6,44.61,0.011,264.72,205.12,59.6
O00259,2025-06-06,South,Accessories,6,45.97,0.068,257.06,155.81,101.25
O00260,2025-06-07,North,Home,6,128.11,0.139,661.82,441.24,220.58
O00261,2025-06-07,South,Home,5,240.11,0.216,941.23,614.85,326.38
O00262,2025-06-08,East,Home,6,286.72,0.194,1386.58,1092.68,293.9
O00263,2025-06-09,East,Electronics,7,232.12,0.104,1455.86,997.31,458.55
O00264,2025-06-09,East,Home,5,43.7,0.181,178.95,111.72,67.23
O00265,2025-06-10,South,Home,7,154.33,0.135,934.47,765.67,168.8
O00266,2025-06-11,North,Office,5,52.93,0.027,257.5,169.66,87.84
O00267,2025-06-11,South,Electronics,3,143.91,0.021,422.66,256.88,165.78
O00268,2025-06-12,North,Home,3,315.97,0.077,874.92,677.96,196.96
O00269,2025-06-12,North,Electronics,7,292.49,0.096,1850.88,1227.4,623.48
O00270,2025-06-13,West,Office,7,226.71,0.215,1245.77,868.65,377.12
O00271,2025-06-14,South,Home,2,85.62,0.17,142.13,84.28,57.85
O00272,2025-06-14,East,Office,4,49.18,0.181,161.11,104.74,56.37
O00273,2025-06-15,South,Office,6,299.39,0.246,1354.44,966.14,388.3
O00274,2025-06-15,North,Electronics,3,183.34,0.01,544.52,325.73,218.79
O00275,2025-06-16,North,Electronics,5,42.59,0.013,210.18,150.77,59.41
O00276,2025-06-17,West,Electronics,7,309.19,0.009,2144.85,1673.68,471.17
O00277,2025-06-17,South,Accessories,2,197.1,0.184,321.67,209.92,111.75
O00278,2025-06-18,North,Office,6,328.63,0.24,1498.55,909.58,588.97
O00279,2025-06-18,South,Electronics,4,27.49,0.003,109.63,61.7,47.93
O00280,2025-06-19,South,Accessories,3,93.36,0.098,252.63,149.49,103.14
O00281,2025-06-20,East,Office,1,126.33,0.23,97.27,74.39,22.88
O00282,2025-06-20,West,Accessories,1,54.08,0.059,50.89,31.8,19.09
O00283,2025-06-21,West,Electronics,2,75.21,0.12,132.37,76.04,56.33
O00284,2025-06-21,North,Office,1,199.37,0.114,176.64,133.91,42.73
O00285,2025-06-22,North,Office,5,120.5,0.169,500.68,380.22,120.46
O00286,2025-06-23,West,Accessories,7,171.21,0.194,965.97,634.92,331.05
O00287,2025-06-23,North,Home,1,54.88,0.206,43.57,27.74,15.83
O00288,2025-06-24,North,Accessories,2,339.06,0.178,557.41,310.43,246.98
O00289,2025-06-25,West,Electronics,7,188.27,0.037,1269.13,861.39,407.74
O00290,2025-06-25,North,Office,5,125.35,0.003,624.87,351.73,273.14
O00291,2025-06-26,West,Office,7,184.82,0.248,972.89,795.36,177.53
O00292,2025-06-26,West,Office,5,241.95,0.206,960.54,601.65,358.89
O00293,2025-06-27,North,Accessories,8,162.18,0.187,1054.82,827.99,226.83
O00294,2025-06-28,West,Accessories,2,194.77,0.204,310.07,236.22,73.85
O00295,2025-06-28,East,Electronics,7,185.22,0.115,1147.44,738.77,408.67
O00296,2025-06-29,South,Accessories,4,236.41,0.074,875.66,682.66,193.0
O00297,2025-06-29,South,Home,1,109.34,0.214,85.94,59.53,26.41
O00298,2025-06-30,North,Home,4,272.08,0.135,941.4,745.04,196.36
O00299,2025-07-01,West,Electronics,4,161.59,0.24,491.23,375.59,115.64
O00300,2025-07-01,South,Accessories,5,300.84,0.051,1427.49,869.4,558.09
O00301,2025-07-02,South,Office,2,135.76,0.1,244.37,195.2,49.17
O00302,2025-07-02,North,Office,7,81.72,0.224,443.9,285.33,158.57
O00303,2025-07-03,South,Electronics,3,106.68,0.054,302.76,224.49,78.27
O00304,2025-07-04,South,Electronics,8,43.01,0.179,282.49,176.42,106.07
O00305,2025-07-04,North,Home,8,233.31,0.211,1472.65,950.16,522.49
O00306,2025-07-05,East,Electronics,1,95.42,0.127,83.3,46.22,37.08
O00307,2025-07-05,North,Accessories,6,148.85,0.069,831.48,577.01,254.47
O00308,2025-07-06,South,Accessories,4,113.59,0.193,366.67,227.64,139.03
O00309,2025-07-07,South,Electronics,5,101.81,0.225,394.51,226.92,167.59
O00310,2025-07-07,East,Home,3,323.56,0.006,964.86,537.86,427.0
O00311,2025-07-08,North,Electronics,4,342.45,0.175,1130.08,706.41,423.67
O00312,2025-07-08,West,Accessories,7,269.42,0.121,1657.74,1215.74,442.0
O00313,2025-07-09,East,Electronics,5,322.27,0.145,1377.7,1063.7,314.0
O00314,2025-07-10,South,Office,3,90.29,0.215,212.63,150.22,62.41
O00315,2025-07-10,East,Office,6,18.0,0.016,106.27,64.61,41.66
O00316,2025-07-11,North,Accessories,4,126.44,0.034,488.56,268.94,219.62
O00317,2025-07-12,South,Home,6,77.03,0.131,401.63,282.74,118.89
O00318,2025-07-12,West,Accessories,6,67.45,0.118,356.95,236.41,120.54
O00319,2025-07-13,East,Home,7,345.53,0.078,2230.05,1497.38,732.67
O00320,2025-07-13,West,Electronics,6,76.32,0.085,419.0,326.01,92.99
O00321,2025-07-14,East,Accessories,6,135.77,0.096,736.42,415.34,321.08
O00322,2025-07-15,North,Accessories,6,26.64,0.072,148.33,87.9,60.43
O00323,2025-07-15,West,Accessories,7,249.59,0.063,1637.06,1174.15,462.91
O00324,2025-07-16,West,Office,4,178.41,0.145,610.16,335.9,274.26
O00325,2025-07-16,North,Electronics,3,57.26,0.133,148.93,101.35,47.58
O00326,2025-07-17,South,Electronics,5,105.06,0.234,402.38,234.41,167.97
O00327,2025-07-18,West,Office,4,33.38,0.001,133.39,99.59,33.8
O00328,2025-07-18,North,Office,3,342.2,0.072,952.68,559.11,393.57
O00329,2025-07-19,West,Electronics,2,117.59,0.071,218.48,168.04,50.44
O00330,2025-07-19,North,Electronics,7,36.08,0.167,210.38,148.31,62.07
O00331,2025-07-20,North,Office,5,306.92,0.129,1336.64,1058.67,277.97
O00332,2025-07-21,West,Home,7,198.15,0.208,1098.54,644.48,454.06
O00333,2025-07-21,North,Accessories,5,206.05,0.102,925.16,572.33,352.83
O00334,2025-07-22,North,Office,3,143.47,0.168,358.1,250.75,107.35
O00335,2025-07-22,East,Home,7,236.16,0.177,1360.52,826.02,534.5
O00336,2025-07-23,West,Home,4,116.68,0.244,352.84,239.23,113.61
O00337,2025-07-24,West,Electronics,1,213.39,0.033,206.35,127.41,78.94
O00338,2025-07-24,North,Office,1,98.19,0.186,79.93,52.95,26.98
O00339,2025-07-25,West,Accessories,5,157.4,0.016,774.41,566.22,208.19
O00340,2025-07-26,South,Accessories,1,95.04,0.155,80.31,55.02,25.29
O00341,2025-07-26,West,Electronics,7,323.69,0.027,2204.65,1752.7,451.95
O00342,2025-07-27,North,Office,2,178.14,0.015,350.94,256.05,94.89
O00343,2025-07-27,East,Home,4,215.53,0.154,729.35,463.22,266.13
O00344,2025-07-28,East,Electronics,6,216.99,0.211,1027.23,773.52,253.71
O00345,2025-07-29,South,Electronics,1,310.31,0.034,299.76,188.07,111.69
O00346,2025-07-29,South,Home,7,183.17,0.187,1042.42,848.2,194.22
O00347,2025-07-30,North,Electronics,1,335.12,0.077,309.32,177.24,132.08
O00348,2025-07-30,South,Home,2,284.02,0.039,545.89,364.46,181.43
O00349,2025-07-31,East,Home,1,312.98,0.229,241.31,150.96,90.35
O00350,2025-08-01,West,Home,8,211.4,0.115,1496.71,1083.24,413.47
O00351,2025-08-01,East,Accessories,4,115.03,0.172,380.98,295.62,85.36
O00352,2025-08-02,South,Accessories,3,72.18,0.153,183.41,148.62,34.79
O00353,2025-08-02,East,Home,2,241.62,0.143,414.14,275.56,138.58
O00354,2025-08-03,East,Home,8,30.7,0.046,234.3,168.11,66.19
